Snr. ,Month,Governorate,District,Sub-District,Camp name,camp_name_matching,SSID,Total no of families,Total no of individuals,Total no of Females,Total no of Males,Total no of newly arrived families,Total no of newly arrived individuals,Number of newly arrived families in secondary displacement,Number of newly arrived individuals in secondary displacement,Total no of families that left the camp ,Total no of individuals that left the camp ,Total no of occupied plots,Total no of uninhabited plots with concrete slabs,Total no of uninhabited plots with concrete slabs and tents,Total no of uninhabited plots with caravan/ RHU,"Total no of children
(0-17 yrs)","Total no of adults
(18-59 yrs)","Total no of elderly
(60 yrs and above)",Child Headed Families,Female Headed  Families,Elderly Headed Families,"Total 
Births","Total 
Deaths"
1,September,Al-Anbar,Al-Falluja,Al-Amirya,AAF,aaf,IQ0102-0019,899,3696,2067,1629,0,0,0,0,2,11,1070,412,292,146,1987,1549,160,5,249,44,0,0
2,September,Al-Anbar,Al-Falluja,Al-Amirya,HTC,htc,IQ0102-0033,503,2505,1359,1146,2,8,2,8,3,19,731,575,0,0,1384,1045,76,0,200,48,0,1
3,September,Baghdad,Al-Mada'in,Al-Wihda,Al-Nabi Younis,,IQ0707-0001,61,303,162,141,0,0,0,0,0,0,95,0,0,15,163,134,6,0,3,3,0,0
4,September,Baghdad,Al-Kadhmiyah,Al-Taji,Al-Ahel,al.ahel,IQ0701-0002,74,398,220,178,0,0,0,0,0,0,174,0,0,96,228,163,7,0,18,0,0,0
5,September,Baghdad,Al-Risafa,Baghdad Al-Jedeede,Zayona,zayona,IQ0707-0043,110,361,186,175,0,0,0,0,0,0,110,1,0,29,145,182,34,0,30,0,0,0
6,September,Baghdad,Al-Mahmoudiya,Al-Latifya,Latifiya 1,,IQ0706-0004,28,119,54,65,0,0,0,0,0,0,28,0,0,0,75,42,2,0,8,0,0,0
7,September,Baghdad,Al-Mahmoudiya,Al-Latifya,Latifiya 2,,IQ0706-0003,12,56,32,24,0,0,0,0,0,0,12,0,0,0,31,24,1,0,4,1,0,0
8,September,Duhok,Zakho,Al-Sindi,Berseve 1,bersive.1,IQ0804-0001,1216,6305,3251,3054,0,0,0,0,43,230,1646,286,356,0,2794,3236,275,4,48,39,3,3
9,September,Duhok,Zakho,Al-Sindi,Berseve 2,bersive.2,IQ0804-0002,1533,7598,3914,3684,27,130,1,4,44,210,1720,0,100,0,3763,3553,282,22,256,217,23,3
10,September,Duhok,Zakho,Al-Sindi,Chamishku,chamishku,IQ0804-0003,4626,23877,12276,11601,115,701,0,0,390,1975,5000,0,0,0,9809,12896,1172,20,3789,817,4,1
11,September,Duhok,Zakho,Al-Sindi,Darkar,darkar,IQ0804-0290,681,3647,1847,1800,0,0,0,0,18,108,799,0,0,2,1706,1776,165,4,565,105,2,0
12,September,Duhok,Al-Amadiya,Sarsink,Dawadia,dawoudia,IQ0801-0001,558,2836,1487,1349,10,23,0,0,28,128,780,0,0,120,1295,1414,127,4,165,88,8,1
13,September,Ninewa,Aqra,Gerdaseen,Mamilian,mamilian,IQ1501-0002,170,876,461,415,0,0,0,0,1,8,199,2801,0,0,438,398,40,0,144,26,3,0
14,September,Duhok,Sumail,Sindi,Kabarto 2,kabarto.2,IQ0803-0003,2589,13094,6753,6341,0,0,0,0,47,215,2757,0,243,0,6211,6287,596,21,508,570,0,3
15,September,Duhok,Sumail,Sindi,Khanke,khanke,IQ0803-0005,2707,14328,7238,7090,69,282,0,0,72,377,3120,0,0,0,6302,7364,662,4,727,439,25,2
16,September,Duhok,Sumail,Al-Selvani,Bajet Kandala,bajed.kandala,IQ0803-0001,1831,9327,4800,4527,9,11,1,9,93,465,1522,0,0,0,4117,4750,460,2,209,330,23,3
17,September,Duhok,Sumail,Al-Selvani,Rwanga Community,rwanga.community,IQ0803-0004,2487,12974,6788,6186,37,131,6,38,51,255,2998,8,0,0,4986,7473,515,11,255,395,12,3
18,September,Duhok,Sumail,Sindi,Shariya,shariya,IQ0803-0006,2945,15630,8081,7549,31,134,19,108,34,180,3900,0,100,0,6880,8081,669,13,598,473,5,0
19,September,Duhok,Sumail,Sindi,Kabarto 1,kabarto.1,IQ0803-0002,2493,12865,6579,6286,28,88,0,0,95,517,3000,0,0,0,5998,6333,534,16,433,181,6,2
20,September,Diyala,Khanaqin,Markaz Khanaquin,Al-Wand 1,alwand.1,IQ1004-0003,487,2156,1052,1104,0,0,0,0,9,36,650,0,0,152,1047,1011,98,0,141,36,8,0
21,September,Diyala,Khanaqin,Markaz Khanaquin,Al-Wand 2,alwand.2,IQ1004-0004,158,668,313,355,2,8,2,8,6,18,215,297,0,0,306,328,34,0,24,13,1,0
