Place id,Governorate,District,"Location name
in English","Location name
in Arabic ",Latitude,Longitude,Households,Individuals,Host Families,Hotel/Motel,Rented houses,Habitual residnece (Habitable),Habitual residence (Uninhabitable),Informal settlements,"Unfinished/
Abandoned building",Non-residential structure,Religious Building,School Building,Other formal settlements/ collective centres,Other shelters,Unknown shelter type,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salah al-Din,Sulaymaniyah,Thi-Qar,Wassit,Pre-June14 Period,June-July14 Period,August14 Period,Post September14 Period,Post April15 Period,Post Mar16 Period,Post 17 October 16 Period,17-Jul,19-Jan,20-Jan,Open Street Map,Google Map,Bing Map
106,Anbar,Al-Ka'im,Al-Amen,حي الامين,34.37912856,41.00037824,"1,185",7110.00,,,114,"6,246",750,,,,,,,,,966,588,"2,760",,,,"1,560",,270,,,,,,,966,,,,,,,"1,050","1,320","1,944","2,796",,,Maplink1,Maplink2,Maplink3
23788,Anbar,Al-Ka'im,Hay Al Rashid,حي الرشيد,34.38715286,40.98881848,385,2310.00,,,66,"1,968",276,,,,,,,,,"1,194",,414,,,,480,,,,,,,,,222,,,,,,,,432,384,"1,494",,,Maplink1,Maplink2,Maplink3
23794,Anbar,Al-Ka'im,Hay Al Sinay,حي الصناعي,34.38403618,41.035056,171,1026.00,,,30,876,120,,,,,,,,,54,,426,,,,372,,,,,,,,,174,,,,,,,,300,606,120,,,Maplink1,Maplink2,Maplink3
286,Anbar,Al-Ka'im,Hay Al-Athar,حي الاثار,34.37673472,41.06307709,330,1980.00,,,18,"1,902",60,,,,,,,,,"1,440",,84,,,,306,,,,,,,,,150,,,,,,,,540,564,876,,,Maplink1,Maplink2,Maplink3
273,Anbar,Al-Ka'im,Albu Hardan,قرية البوحردان,34.4062892,41.09457227,571,3426.00,,,,"2,964",462,,,,,,,,,"1,128",,"1,362",,,,738,,,,,,,,,198,,,,,,,,576,594,"2,256",,,Maplink1,Maplink2,Maplink3
279,Anbar,Al-Ka'im,Hay Al-Farooq,حي الفاروق,34.39645966,41.00274452,245,1470.00,,,30,"1,350",90,,,,,,,,,582,,360,,,,288,,,,,,,,,240,,,,,,,,144,114,"1,212",,,Maplink1,Maplink2,Maplink3
287,Anbar,Al-Ka'im,Hay Al-Makarim,حي المكارم,34.38437722,41.02395861,298,1788.00,,,24,"1,680",84,,,,,,,,,924,,102,,,,582,,,,,,,,,180,,,,,,,,402,756,630,,,Maplink1,Maplink2,Maplink3
23792,Anbar,Al-Ka'im,Al Angaa,حي العنقاء,34.38025462,41.05022726,945,5670.00,,,150,"4,830",690,,,,,,,,,"1,236",,"1,530",,,,"1,566",,210,,,,,,,"1,128",,,,,,,780,678,"1,230","2,982",,,Maplink1,Maplink2,Maplink3
33816,Anbar,Al-Ka'im,       Hay  Al Forat            ,حي الفرات,34.4117274,41.0047866,230,1380.00,,,12,"1,158",210,,,,,,,,,48,,654,,,,438,,,,,,,,,240,,,,,,,,,390,990,,,Maplink1,Maplink2,Maplink3
23787,Anbar,Al-Ka'im,Hay Al Sham,حي الشام ( الجمعية ),34.38769212,40.99429847,420,2520.00,,,228,"2,124",168,,,,,,,,,660,,612,,,,612,,96,,,,,,,540,,,,,,,60,396,936,"1,128",,,Maplink1,Maplink2,Maplink3
33176,Anbar,Al-Ka'im,Al Masharea,المشاريع,34.411487,41.00671,36,216.00,,,,216,,,,,,,,,,102,,114,,,,,,,,,,,,,,,,,,,,,,,216,,,Maplink1,Maplink2,Maplink3
33944,Anbar,Al-Ka'im,AL Fayadhiya Village,قرية الفياضية,34.3724586,41.1771001,92,552.00,,,,504,48,,,,,,,,,,,192,,,,210,,48,,,,,,,102,,,,,,,,150,90,312,,,Maplink1,Maplink2,Maplink3
164,Anbar,Al-Ka'im,Al Ubaydi-3,العبيدي-مرحلة ثالثة,34.43679853,41.23267522,341,2046.00,,,,"1,818",228,,,,,,,,,864,,426,,,,468,,,,,,,,,288,,,,,,,,276,"1,224",546,,,Maplink1,Maplink2,Maplink3
66,Anbar,Al-Ka'im,Sadah,قرية سعده,34.36995574,41.09281041,755,4530.00,,,60,"4,338",132,,,,,,,,,"1,014",,"1,614",,,,"1,236",,66,,,,,,,600,,,,,,,456,510,"1,392","2,172",,,Maplink1,Maplink2,Maplink3
