"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c14","all",1,"all",0.260517879531837,NA,0.242980814955073,0.278054944108601,"all","all"
"c15","all",1,"all",0.0260132889019926,NA,0.0228412701026607,0.0291853077013245,"all","all"
"c16","all",1,"all",0.481244100040099,NA,0.463864627922197,0.498623572158001,"all","all"
"c16_i","all",1,"all",0.307669059605499,NA,0.291859012454572,0.323479106756426,"all","all"
"c16_ii","all",1,"all",0.493269868970183,NA,0.473729294355566,0.5128104435848,"all","all"
"c16_iii","all",1,"all",0.340378473035999,NA,0.321571282455059,0.359185663616938,"all","all"
"c16_iv","all",1,"all",0.0748096000423371,NA,0.0639315310690765,0.0856876690155976,"all","all"
"c16_v","all",1,"all",0.0742357264695291,NA,0.0654111008696446,0.0830603520694137,"all","all"
"c17","all",1,"all",0.515739476047425,NA,0.498191409780451,0.5332875423144,"all","all"
"c18_i","all",1,"all",0.0317904178739036,NA,0.027300062724405,0.0362807730234022,"all","all"
"c18_ii","all",NA,"all",0.685533714525244,NA,0.587069110175368,0.783998318875121,"all","all"
"c19_i","all",1,"all",0.0479557909093813,NA,0.0425001157492302,0.0534114660695324,"all","all"
"c19_ii","all",NA,"all",0.930081202944359,NA,0.836969638367682,1.02319276752104,"all","all"
"c20","all",1,"all",0.061660132950305,NA,0.055339560920491,0.0679807049801189,"all","all"
"c21","all",1,"all",0.250285526496142,NA,0.235555810096664,0.265015242895619,"all","all"
"c22","all",1,"all",0.0770674637811771,NA,0.0676743782312956,0.0864605493310586,"all","all"
"c24","all",1,"all",0.551003187753318,NA,0.533442749125516,0.568563626381119,"all","all"
"c25","all",1,"all",0.809239040334776,NA,0.758052265632186,0.860425815037365,"all","all"
"c26","all",1,"all",0.0209126256032608,NA,0.0191305971834121,0.0226946540231095,"all","all"
"c27","all",1,"all",0.439273560379112,NA,0.421534544967754,0.457012575790469,"all","all"
"c28","all",1,"all",0.0943408235950018,NA,0.0859879849718212,0.102693662218182,"all","all"
"c29","all",1,"all",0.450351161513852,NA,0.432856003050402,0.467846319977303,"all","all"
"c30_1","all",1,"all",0.59580153039314,NA,0.578083403664077,0.613519657122203,"all","all"
"c30_2_i","all",1,"all",0.382765224489707,NA,0.365415642665224,0.40011480631419,"all","all"
"c30_2_ii","all",1,"all",0.0922397805517651,NA,0.0833194051627824,0.101160155940748,"all","all"
"c30_2_iii","all",1,"all",0.114786844889081,NA,0.105948470902447,0.123625218875716,"all","all"
"c30_2_iv","all",1,"all",0.00600968046258661,NA,0.00325039115520044,0.00876896976997277,"all","all"
"c30_2_v","all",1,"all",0.00150776692970234,NA,0.000495143112481197,0.00252039074692348,"all","all"
"c30_2_vi","all",1,"all",0.0527554501105573,NA,0.0440632730867319,0.0614476271343827,"all","all"
"c32","all",1,"all",0.0439743864928256,NA,0.0371195014994765,0.0508292714861747,"all","all"
"c33_i","all",1,"all",0.478203413409581,NA,0.354073935096174,0.602332891722987,"all","all"
"c33_ii","all",1,"all",0.0706102774422665,NA,0.0364121084543157,0.104808446430217,"all","all"
"c33_iii","all",1,"all",0.127862396637136,NA,0.0261764823868266,0.229548310887445,"all","all"
"c37","all",1,"all",0.133388072162951,NA,0.12478692123152,0.141989223094382,"all","all"
"c39","all",1,"all",0.822570692164162,NA,0.776950346556473,0.868191037771851,"all","all"
"c40_i","all",1,"all",0.0852542361249025,NA,0.0621759807623224,0.108332491487483,"all","all"
"c40_ii","all",1,"all",0.0852542361249025,NA,0.0621759807623224,0.108332491487483,"all","all"
"c40_iii","all",1,"all",0.0852542361249025,NA,0.0621759807623224,0.108332491487483,"all","all"
"c40_iv","all",1,"all",0.0852542361249025,NA,0.0621759807623224,0.108332491487483,"all","all"
"c45","all",1,"all",0.363034917596881,NA,0.345477991553887,0.380591843639876,"all","all"
"c46","all",1,"all",0.564620336998099,NA,0.547549550965112,0.581691123031087,"all","all"
"c47_i","all",1,"all",0.832950395455961,NA,0.81034741682614,0.855553374085782,"all","all"
"c47_ii","all",1,"all",0.116623079430241,NA,0.0999337261431016,0.133312432717381,"all","all"
"c47_iii","all",1,"all",0.0816182527923818,NA,0.0662387648486595,0.096997740736104,"all","all"
"c47_iv","all",1,"all",0.115926700640293,NA,0.099890116477124,0.131963284803462,"all","all"
"c48","all",1,"all",0.0439743864928256,NA,0.0371195014994765,0.0508292714861747,"all","all"
"c49_i","all",1,"all",0.299835667700246,NA,0.285214519970443,0.31445681543005,"all","all"
"c49_ii","all",1,"all",0.0836295515130387,NA,0.0753184714857409,0.0919406315403366,"all","all"
"c49_iii","all",1,"all",0.0547370280608728,NA,0.0470039393094115,0.062470116812334,"all","all"
"c49_iv","all",1,"all",0.0372337920186579,NA,0.0324228254729766,0.0420447585643393,"all","all"
"c49_v","all",1,"all",0.0105935865682699,NA,0.00751529009417557,0.0136718830423642,"all","all"
