"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c1","population_group",1,"idp_in_camp",0.420102856853954,NA,0.399918928768597,0.440286784939311,"country","iraq"
"c1","population_group",1,"idp_out_camp",0.469684401249369,NA,0.447072742744591,0.492296059754146,"country","iraq"
"c1","population_group",1,"returnee",0.397051319090775,NA,0.368161365065499,0.42594127311605,"country","iraq"
"c7",NA,NA,NA,NA,NA,NA,NA,"country","iraq"
"c9","population_group",1,"idp_in_camp",0.972895740637413,NA,0.966268315377309,0.979523165897517,"country","iraq"
"c9","population_group",1,"idp_out_camp",0.958560251598417,NA,0.950675952248023,0.96644455094881,"country","iraq"
"c9","population_group",1,"returnee",0.964000694874054,NA,0.955668793261124,0.972332596486984,"country","iraq"
"c11","population_group",1,"idp_in_camp",0.814853090930406,NA,0.797043760768891,0.832662421091922,"country","iraq"
"c11","population_group",1,"idp_out_camp",0.754841629995521,NA,0.731495260539903,0.778187999451139,"country","iraq"
"c11","population_group",1,"returnee",0.594600598249728,NA,0.556744759130396,0.632456437369061,"country","iraq"
"c12","population_group",1,"idp_in_camp",0.921956946378726,NA,0.911324385607516,0.932589507149936,"country","iraq"
"c12","population_group",1,"idp_out_camp",0.890339545940854,NA,0.874007360176972,0.906671731704736,"country","iraq"
"c12","population_group",1,"returnee",0.913422855510537,NA,0.899374678436797,0.927471032584276,"country","iraq"
"c13","population_group",1,"idp_in_camp",0.953002425831839,NA,0.944666231882334,0.961338619781344,"country","iraq"
"c13","population_group",1,"idp_out_camp",0.905679304667733,NA,0.891087688327179,0.920270921008288,"country","iraq"
"c13","population_group",1,"returnee",0.973495662883578,NA,0.967835313826533,0.979156011940624,"country","iraq"
"c16","population_group",1,"idp_in_camp",0.715091150014339,NA,0.696732580049267,0.733449719979411,"country","iraq"
"c16","population_group",1,"idp_out_camp",0.708581034158226,NA,0.688526333357893,0.728635734958559,"country","iraq"
"c16","population_group",1,"returnee",0.52636483894896,NA,0.496548723787457,0.556180954110463,"country","iraq"
"c17","population_group",1,"idp_in_camp",0.921396961733956,NA,0.910382470014463,0.932411453453449,"country","iraq"
"c17","population_group",1,"idp_out_camp",0.722676807365444,NA,0.701090104424951,0.744263510305938,"country","iraq"
"c17","population_group",1,"returnee",0.937814499115574,NA,0.924717999979226,0.950910998251922,"country","iraq"
"c18_i","population_group",1,"idp_in_camp",0.0256138103317169,NA,0.0191206713644298,0.0321069492990041,"country","iraq"
"c18_i","population_group",1,"idp_out_camp",0.0443644709073254,NA,0.033114457514631,0.0556144843000199,"country","iraq"
"c18_i","population_group",1,"returnee",0.0247268258355005,NA,0.0128088257380055,0.0366448259329954,"country","iraq"
"c19_i","population_group",1,"idp_in_camp",0.0849693402341419,NA,0.0732224693857033,0.0967162110825805,"country","iraq"
"c19_i","population_group",1,"idp_out_camp",0.0913667046885841,NA,0.0766716024372118,0.106061806939956,"country","iraq"
"c19_i","population_group",1,"returnee",0.0233788935023547,NA,0.0155959586746845,0.0311618283300248,"country","iraq"
"c21","population_group",1,"idp_in_camp",0.290950941180991,NA,0.259948510281141,0.321953372080841,"country","iraq"
"c21","population_group",1,"idp_out_camp",0.21944984319006,NA,0.184447038768246,0.254452647611874,"country","iraq"
"c21","population_group",1,"returnee",0.181828938064518,NA,0.129107950885333,0.234549925243702,"country","iraq"
"c22","population_group",1,"idp_in_camp",0,NA,0,0,"country","iraq"
"c22","population_group",1,"idp_out_camp",0,NA,0,0,"country","iraq"
"c22","population_group",1,"returnee",0.000347622637020778,NA,-0.000224428617571625,0.00091967389161318,"country","iraq"
"c23_i","population_group",1,"idp_in_camp",0.676713818393546,NA,0.631180423302463,0.722247213484628,"country","iraq"
"c23_i","population_group",1,"idp_out_camp",0.726877220774067,NA,0.676627468106285,0.777126973441848,"country","iraq"
"c23_i","population_group",1,"returnee",0.670910765083233,NA,0.596085798371326,0.74573573179514,"country","iraq"
"c23_ii","population_group",1,"idp_in_camp",0.253831284931026,NA,0.211035984416931,0.296626585445121,"country","iraq"
"c23_ii","population_group",1,"idp_out_camp",0.119511490375176,NA,0.0877447505455969,0.151278230204755,"country","iraq"
"c23_ii","population_group",1,"returnee",0.111299157793318,NA,0.060107157441838,0.162491158144798,"country","iraq"
"c23_iii","population_group",1,"idp_in_camp",0.0465114130681342,NA,0.0273835448978877,0.0656392812383806,"country","iraq"
"c23_iii","population_group",1,"idp_out_camp",0.0619761886565437,NA,0.046327333224065,0.0776250440890224,"country","iraq"
"c23_iii","population_group",1,"returnee",0.0604275565919292,NA,0.036805377844914,0.0840497353389444,"country","iraq"
"c23_iv","population_group",1,"idp_in_camp",0.140092337414629,NA,0.10739704963957,0.172787625189689,"country","iraq"
"c23_iv","population_group",1,"idp_out_camp",0.217972461184689,NA,0.170380183711689,0.265564738657689,"country","iraq"
"c23_iv","population_group",1,"returnee",0.244077779497045,NA,0.171245873412854,0.316909685581235,"country","iraq"
"c24","population_group",1,"idp_in_camp",0.837305096349963,NA,0.821884886090751,0.852725306609176,"country","iraq"
"c24","population_group",1,"idp_out_camp",0.681068345262786,NA,0.660639597700158,0.701497092825414,"country","iraq"
"c24","population_group",1,"returnee",0.590150118380426,NA,0.561440060665062,0.618860176095791,"country","iraq"
"c25_i","population_group",1,"idp_in_camp",0.926184575720376,NA,0.897861728228509,0.954507423212243,"country","iraq"
"c25_i","population_group",1,"idp_out_camp",0.740239038620287,NA,0.681479541528686,0.798998535711887,"country","iraq"
"c25_i","population_group",1,"returnee",0.780417142341124,NA,0.716876060959028,0.843958223723221,"country","iraq"
"c25_ii","population_group",1,"idp_in_camp",0.0554362089798838,NA,0.031620571346139,0.0792518466136287,"country","iraq"
"c25_ii","population_group",1,"idp_out_camp",0.16716375535662,NA,0.116439344319644,0.217888166393595,"country","iraq"
"c25_ii","population_group",1,"returnee",0.148136462077379,NA,0.0927873462273125,0.203485577927446,"country","iraq"
"c25_iii","population_group",1,"idp_in_camp",0.0183792152997402,NA,0.00218262340949397,0.0345758071899864,"country","iraq"
"c25_iii","population_group",1,"idp_out_camp",0.0925972060230939,NA,0.0559151559807064,0.129279256065481,"country","iraq"
"c25_iii","population_group",1,"returnee",0.0714463955814963,NA,0.0403435339332638,0.102549257229729,"country","iraq"
"c26","population_group",1,"idp_in_camp",0.287202710676379,NA,0.268870124256303,0.305535297096455,"country","iraq"
"c26","population_group",1,"idp_out_camp",0.0224904203008157,NA,0.0150734606273383,0.029907379974293,"country","iraq"
"c26","population_group",1,"returnee",0.00238127537590371,NA,0.00109699749692838,0.00366555325487904,"country","iraq"
"c27","population_group",1,"idp_out_camp",0.582886598126085,NA,0.557860686485198,0.607912509766972,"country","iraq"
"c27","population_group",1,"returnee",0.353389632012885,NA,0.323746130706256,0.383033133319514,"country","iraq"
