"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c13","population_group",1,"idp",0.476500084987465,NA,0.453133668513974,0.499866501460957,"all","all"
"c13","population_group",1,"idp_camp",0.835660274971426,NA,0.820956765380523,0.85036378456233,"all","all"
"c13","population_group",1,"returnee",0.482916598856415,NA,0.454892932971457,0.510940264741374,"all","all"
"c14","population_group",NA,"idp",1.57321545838306,NA,1.54449090375351,1.6019400130126,"all","all"
"c14","population_group",NA,"returnee",1.59628193281508,NA,1.56214449818524,1.63041936744493,"all","all"
"c14","population_group",NA,"idp_camp",1.70328645342669,NA,1.68114048351008,1.72543242334329,"all","all"
"c15","population_group",1,"idp",0.0227262381036789,NA,0.0166586211305778,0.02879385507678,"all","all"
"c15","population_group",1,"idp_camp",0.00281322525440915,NA,0.00112987197623113,0.00449657853258717,"all","all"
"c15","population_group",1,"returnee",0.0173233771061183,NA,0.0122228801690698,0.0224238740431668,"all","all"
"c16","population_group",1,"idp",0.713607678742925,NA,0.692487754493472,0.734727602992379,"all","all"
"c16","population_group",1,"idp_camp",0.64256300798574,NA,0.622920586671622,0.662205429299858,"all","all"
"c16","population_group",1,"returnee",0.721377514903249,NA,0.697429564804038,0.745325465002461,"all","all"
"c17","population_group",1,"idp",0.411276055706418,NA,0.388222041535587,0.434330069877249,"all","all"
"c17","population_group",1,"idp_camp",0.776012090222377,NA,0.758979850457371,0.793044329987382,"all","all"
"c17","population_group",1,"returnee",0.53980975330524,NA,0.511916331313901,0.567703175296578,"all","all"
"c18","population_group",1,"idp",0.164496953129986,NA,0.145338741113525,0.183655165146447,"all","all"
"c18","population_group",1,"idp_camp",0.0429208706778323,NA,0.0348709112436895,0.0509708301119751,"all","all"
"c18","population_group",1,"returnee",0.166127817261124,NA,0.142146538583475,0.190109095938774,"all","all"
"c21","population_group",1,"idp",0.0834080224088582,NA,0.0697152161701411,0.0971008286475752,"all","all"
"c21","population_group",1,"idp_camp",0.149090316321979,NA,0.134496277852564,0.163684354791393,"all","all"
"c21","population_group",1,"returnee",0.100415090981475,NA,0.0827395019496908,0.11809068001326,"all","all"
"c22","population_group",1,"idp",0.0135398751798356,NA,0.00728373097730634,0.0197960193823648,"all","all"
"c22","population_group",1,"idp_camp",0.00529745255768741,NA,0.00221825968110629,0.00837664543426853,"all","all"
"c22","population_group",1,"returnee",0.00971707310589519,NA,0.00541086729172351,0.0140232789200669,"all","all"
"c25","population_group",1,"idp",0.0478104523807139,NA,0.0392585389350672,0.0563623658263606,"all","all"
"c25","population_group",1,"idp_camp",0.154934248299153,NA,0.139286441949729,0.170582054648577,"all","all"
"c25","population_group",1,"returnee",0.0432957486318558,NA,0.0331985468268842,0.0533929504368275,"all","all"
"c26","population_group",1,"idp",0.0127487598203877,NA,0.00795597362033751,0.0175415460204379,"all","all"
