"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c32","all","0","all",0.956025613507174,NA,0.949170728513825,0.962880498500523,"all","all"
"c32","all","1","all",0.0439743864928256,NA,0.0371195014994765,0.0508292714861747,"all","all"
"c33_i","all","0","all",0.521796586590419,NA,0.397667108277013,0.645926064903826,"all","all"
"c33_i","all","1","all",0.478203413409581,NA,0.354073935096174,0.602332891722987,"all","all"
"c33_ii","all","0","all",0.929389722557734,NA,0.895191553569783,0.963587891545684,"all","all"
"c33_ii","all","1","all",0.0706102774422665,NA,0.0364121084543157,0.104808446430217,"all","all"
"c33_iii","all","0","all",0.872137603362864,NA,0.770451689112555,0.973823517613173,"all","all"
"c33_iii","all","1","all",0.127862396637136,NA,0.0261764823868266,0.229548310887445,"all","all"
"c33_iv","all","0","all",0.765428205956175,NA,0.6413190359095,0.889537376002849,"all","all"
"c33_iv","all","1","all",0.234571794043825,NA,0.110462623997151,0.3586809640905,"all","all"
