"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c1","population_group","0","idp_in_camp",0.579897143146046,NA,0.559713215060689,0.600081071231403,"country","iraq"
"c1","population_group","1","idp_in_camp",0.420102856853954,NA,0.399918928768597,0.440286784939311,"country","iraq"
"c1","population_group","0","idp_out_camp",0.530315598750631,NA,0.507703940245854,0.552927257255409,"country","iraq"
"c1","population_group","1","idp_out_camp",0.469684401249369,NA,0.447072742744591,0.492296059754146,"country","iraq"
"c1","population_group","0","returnee",0.602948680909225,NA,0.57405872688395,0.631838634934501,"country","iraq"
"c1","population_group","1","returnee",0.397051319090775,NA,0.368161365065499,0.42594127311605,"country","iraq"
"c7",NA,NA,NA,NA,NA,NA,NA,"country","iraq"
"c9","population_group","0","idp_in_camp",0.027104259362587,NA,0.0204768341024833,0.0337316846226906,"country","iraq"
"c9","population_group","1","idp_in_camp",0.972895740637413,NA,0.966268315377309,0.979523165897517,"country","iraq"
"c9","population_group","0","idp_out_camp",0.0414397484015832,NA,0.0335554490511898,0.0493240477519765,"country","iraq"
"c9","population_group","1","idp_out_camp",0.958560251598417,NA,0.950675952248023,0.96644455094881,"country","iraq"
"c9","population_group","0","returnee",0.0359993051259463,NA,0.0276674035130163,0.0443312067388763,"country","iraq"
"c9","population_group","1","returnee",0.964000694874054,NA,0.955668793261124,0.972332596486984,"country","iraq"
"c11","population_group","0","idp_in_camp",0.185146909069594,NA,0.167337578908078,0.202956239231109,"country","iraq"
"c11","population_group","1","idp_in_camp",0.814853090930406,NA,0.797043760768891,0.832662421091922,"country","iraq"
"c11","population_group","0","idp_out_camp",0.245158370004479,NA,0.221812000548861,0.268504739460097,"country","iraq"
"c11","population_group","1","idp_out_camp",0.754841629995521,NA,0.731495260539903,0.778187999451139,"country","iraq"
"c11","population_group","0","returnee",0.405399401750272,NA,0.367543562630939,0.443255240869605,"country","iraq"
"c11","population_group","1","returnee",0.594600598249728,NA,0.556744759130396,0.632456437369061,"country","iraq"
"c12","population_group","0","idp_in_camp",0.0780430536212738,NA,0.0674104928500639,0.0886756143924837,"country","iraq"
"c12","population_group","1","idp_in_camp",0.921956946378726,NA,0.911324385607516,0.932589507149936,"country","iraq"
"c12","population_group","0","idp_out_camp",0.109660454059146,NA,0.0933282682952644,0.125992639823028,"country","iraq"
"c12","population_group","1","idp_out_camp",0.890339545940854,NA,0.874007360176972,0.906671731704736,"country","iraq"
"c12","population_group","0","returnee",0.0865771444894634,NA,0.0725289674157238,0.100625321563203,"country","iraq"
"c12","population_group","1","returnee",0.913422855510537,NA,0.899374678436797,0.927471032584276,"country","iraq"
"c13","population_group","0","idp_in_camp",0.0469975741681607,NA,0.0386613802186554,0.0553337681176661,"country","iraq"
"c13","population_group","1","idp_in_camp",0.953002425831839,NA,0.944666231882334,0.961338619781344,"country","iraq"
"c13","population_group","0","idp_out_camp",0.0943206953322666,NA,0.0797290789917119,0.108912311672821,"country","iraq"
"c13","population_group","1","idp_out_camp",0.905679304667733,NA,0.891087688327179,0.920270921008288,"country","iraq"
"c13","population_group","0","returnee",0.0265043371164216,NA,0.0208439880593763,0.0321646861734669,"country","iraq"
"c13","population_group","1","returnee",0.973495662883578,NA,0.967835313826533,0.979156011940624,"country","iraq"
"c16","population_group","0","idp_in_camp",0.284908849985661,NA,0.266550280020589,0.303267419950733,"country","iraq"
"c16","population_group","1","idp_in_camp",0.715091150014339,NA,0.696732580049267,0.733449719979411,"country","iraq"
"c16","population_group","0","idp_out_camp",0.291418965841774,NA,0.271364265041441,0.311473666642107,"country","iraq"
"c16","population_group","1","idp_out_camp",0.708581034158226,NA,0.688526333357893,0.728635734958559,"country","iraq"
"c16","population_group","0","returnee",0.47363516105104,NA,0.443819045889537,0.503451276212542,"country","iraq"
"c16","population_group","1","returnee",0.52636483894896,NA,0.496548723787457,0.556180954110463,"country","iraq"
"c17","population_group","0","idp_in_camp",0.0786030382660439,NA,0.0675885465465505,0.0896175299855372,"country","iraq"
"c17","population_group","1","idp_in_camp",0.921396961733956,NA,0.910382470014463,0.932411453453449,"country","iraq"
"c17","population_group","0","idp_out_camp",0.277323192634556,NA,0.255736489694062,0.298909895575049,"country","iraq"
"c17","population_group","1","idp_out_camp",0.722676807365444,NA,0.701090104424951,0.744263510305938,"country","iraq"
"c17","population_group","0","returnee",0.0621855008844256,NA,0.0490890017480776,0.0752820000207737,"country","iraq"
"c17","population_group","1","returnee",0.937814499115574,NA,0.924717999979226,0.950910998251922,"country","iraq"
"c18_i","population_group","0","idp_in_camp",0.974386189668283,NA,0.967893050700996,0.98087932863557,"country","iraq"
"c18_i","population_group","1","idp_in_camp",0.0256138103317169,NA,0.0191206713644298,0.0321069492990041,"country","iraq"
"c18_i","population_group","0","idp_out_camp",0.955635529092675,NA,0.94438551569998,0.966885542485369,"country","iraq"
"c18_i","population_group","1","idp_out_camp",0.0443644709073254,NA,0.033114457514631,0.0556144843000199,"country","iraq"
"c18_i","population_group","0","returnee",0.9752731741645,NA,0.963355174067005,0.987191174261995,"country","iraq"
"c18_i","population_group","1","returnee",0.0247268258355005,NA,0.0128088257380055,0.0366448259329954,"country","iraq"
"c19_i","population_group","0","idp_in_camp",0.915030659765858,NA,0.903283788917419,0.926777530614297,"country","iraq"
"c19_i","population_group","1","idp_in_camp",0.0849693402341419,NA,0.0732224693857033,0.0967162110825805,"country","iraq"
"c19_i","population_group","0","idp_out_camp",0.908633295311416,NA,0.893938193060044,0.923328397562788,"country","iraq"
"c19_i","population_group","1","idp_out_camp",0.0913667046885841,NA,0.0766716024372118,0.106061806939956,"country","iraq"
