district,total,health_issue.chronic,Number_of_health_issue.chronic,above64,Number_of_above64,above64_with_chronic,Number_of_above64_with_chronic,above64_or_chronic,Number_of_above64_or_chronic,access_healthcare_hour,Number_of_access_healthcare_hour,access_healthcare_services_hour,Number_of_access_healthcare_services_hour,district_iom,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode
al.amadiya,1132,0.11570531992275626,130.97842215256009,0.03532516587835218,39.98808777429467,0.030342446027227313,34.34764890282132,0.12068803977388112,136.61886102403344,0.9764749973230539,1105.369696969697,0.06924918122371516,78.39007314524557,Amedi,Al-Amadiya,العمادية,IQG09Q01,Duhok,دهوك,IQG09
al.falluja,97943,0.08871497917819605,8689.011205650057,0.008786158151589094,860.5426878410907,0.0085829878311601791,840.6435771473215,0.08891814949862496,8708.910316343825,0.9998591387749227,97929.20362903226,0.7596648419465268,74403.85361476868,Falluja,Al-Falluja,الفلوجة,IQG01Q01,Al-Anbar,الانبار,IQG01
al.hamdaniya,40297,0.09618193041823533,3875.843250063629,0.027346626910975367,1101.9870246315743,0.024496495537934652,987.1352806921526,0.09903206179127605,3990.694994003051,0.9660125054447213,38927.40593190593,0.5512415365475588,22213.38019825698,Al-Hamdaniya,Al-Hamdaniya,الحمدانية,IQG15Q03,Ninewa,نينوى,IQG15
al.hindiya,103,0.10050251256281408,10.35175879396985,0,0,0,0,0.10050251256281408,10.35175879396985,1,103,0.8040201005025126,82.8140703517588,Al-Hindiya,Al-Hindiya,الهندية,IQG12Q02,Kerbala,كربلاء,IQG12
al.kadhmiyah,6909,0.09746247547030333,673.3682430243257,0.022702406164171355,156.85092418825988,0.01930361578112207,133.3686814317724,0.10086126585335262,696.8504857808132,0.8863610695703849,6123.868629661789,0.5069450726956143,3502.483507253999,Kadhimia,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08
al.mosul,191225,0.08969629145624028,17152.173333719547,0.013341023814099287,2551.137278851136,0.008186082536977208,1565.3836331334667,0.09485123273336236,18137.92697943722,0.992920882222647,189871.29570302565,0.45627817119919856,87251.79328756675,Mosul,Al-Mosul,الموصل,IQG15Q05,Ninewa,نينوى,IQG15
al.risafa,105,0.12021857923497267,12.62295081967213,0.0273224043715847,2.8688524590163933,0.02185792349726776,2.2950819672131146,0.12568306010928962,13.19672131147541,1,105,0.9234972677595629,96.9672131147541,Al Resafa,Al-Risafa,الرصافة,IQG08Q06,Baghdad,بغداد,IQG08
al.shikhan,9317,0.12002583147520002,1118.2806718544387,0.027306544157163288,254.41507191229036,0.02172523802420146,202.41404267148502,0.12560713760816183,1170.2817010952438,0.9464388356006486,8817.970631291242,0.27749532585577313,2585.423950998238,Al-Shikhan,Al-Shikhan,الشيخان,IQG15Q06,Ninewa,نينوى,IQG15
al.sulaymaniyah,14750,0.09977614238296979,1471.6981001488045,0.0086115665318339,127.02060634455002,0.007629774392247536,112.53917228565116,0.10075793452255614,1486.1795342077032,0.9577558053490257,14126.898128898129,0.12570250594218127,1854.1119626471736,Sulaymaniya,Al-Sulaymaniyah,السليمانية,IQG06Q01,Al-Sulaymaniyah,السليمانية,IQG06
aqra,4322,0.1237216154325773,534.7248218995991,0.030095297801621408,130.07187709860773,0.02273544942529899,98.26261241614223,0.13108146380889973,566.5340865820647,0.9626365507368989,4160.515172284877,0.38445862751144966,1661.6301881044853,Akre,Aqra,عقرة,IQG15Q01,Ninewa,نينوى,IQG15
