district,idp_out_camp,total,health_issue.chronic,Number_of_health_issue.chronic,above64,Number_of_above64,above64_with_chronic,Number_of_above64_with_chronic,above64_or_chronic,Number_of_above64_or_chronic,district_iom,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode
al.amadiya,3078,5914,0.12727272727272726,391.7454545454545,0.03636363636363636,111.92727272727272,0.03232323232323232,99.49090909090908,0.13131313131313133,404.18181818181824,Amedi,Al-Amadiya,العمادية,IQG09Q01,Duhok,دهوك,IQG09
al.falluja,13968,559509,0.08669354838709677,1210.9354838709676,0.01814516129032258,253.45161290322577,0.012096774193548387,168.96774193548387,0.09274193548387097,1295.4193548387098,Falluja,Al-Falluja,الفلوجة,IQG01Q01,Al-Anbar,الانبار,IQG01
al.hamdaniya,186,195147,0.09948979591836733,18.505102040816325,0.02551020408163265,4.744897959183673,0.017857142857142856,3.321428571428571,0.10714285714285714,19.928571428571427,Al-Hamdaniya,Al-Hamdaniya,الحمدانية,IQG15Q03,Ninewa,نينوى,IQG15
al.kadhmiyah,1836,9998,0.09933774834437085,182.3841059602649,0.026490066225165563,48.63576158940398,0.024282560706401765,44.58278145695364,0.10154525386313466,186.43708609271525,Kadhimia,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08
al.mahmoudiya,4548,54043,0.0947176684881603,430.77595628415304,0.01092896174863388,49.704918032786885,0.009107468123861567,41.42076502732241,0.0965391621129326,439.0601092896175,Mahmoudiya,Al-Mahmoudiya,المحمودية,IQG08Q05,Baghdad,بغداد,IQG08
al.mosul,98640,1170316,0.10434782608695653,10292.869565217392,0,0,0,0,0.10434782608695653,10292.869565217392,Mosul,Al-Mosul,الموصل,IQG15Q05,Ninewa,نينوى,IQG15
al.shikhan,20736,48668,0.1488277268093782,3086.091743119266,0.03669724770642202,760.954128440367,0.029561671763506627,612.9908256880734,0.1559633027522936,3234.0550458715597,Al-Shikhan,Al-Shikhan,الشيخان,IQG15Q06,Ninewa,نينوى,IQG15
al.sulaymaniyah,78276,88628,0.10810810810810811,8462.27027027027,0.008316008316008316,650.943866943867,0.008316008316008316,650.943866943867,0.10810810810810811,8462.27027027027,Sulaymaniya,Al-Sulaymaniyah,السليمانية,IQG06Q01,Al-Sulaymaniyah,السليمانية,IQG06
aqra,28800,29676,0.12474297464016448,3592.597669636737,0.03084304318026045,888.279643591501,0.023303632625085672,671.1446196024674,0.13228238519533927,3809.732693625771,Akre,Aqra,عقرة,IQG15Q01,Ninewa,نينوى,IQG15
baquba,20472,20961,0.12962962962962962,2653.777777777778,0.023809523809523808,487.4285714285714,0.022486772486772486,460.3492063492063,0.13095238095238093,2680.857142857142,Ba'quba,Baquba,بعقوبة,IQG10Q04,Diyala,ديالى,IQG10
erbil,207300,213288,0.10583941605839416,21940.51094890511,0.020072992700729927,4161.131386861314,0.009124087591240875,1891.4233576642334,0.11678832116788321,24210.218978102188,Erbil,Erbil,اربيل,IQG11Q02,Erbil,اربيل,IQG11
kalar,19644,20764,0.1331168831168831,2614.9480519480517,0.02922077922077922,574.012987012987,0.01948051948051948,382.67532467532465,0.14285714285714285,2806.285714285714,Kalar,Kalar,كلار,IQG06Q06,Al-Sulaymaniyah,السليمانية,IQG06
khanaqin,11070,113508,0.1625514403292181,1799.4444444444443,0.037037037037037035,410,0.03292181069958847,364.4444444444444,0.16666666666666666,1845,Khanaqin,Khanaqin,خانقين,IQG10Q05,Diyala,ديالى,IQG10
kirkuk,80418,243314,0.11201079622132253,9007.684210526315,0.032388663967611336,2604.6315789473683,0.026990553306342778,2170.5263157894733,0.11740890688259109,9441.78947368421,Kirkuk,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13
sumail,74724,152942,0.1606145251396648,12001.759776536312,0.04050279329608938,3026.5307262569827,0.034916201117318434,2609.0782122905025,0.16620111731843573,12419.212290502792,Sumel,Sumail,سميل,IQG09Q03,Duhok,دهوك,IQG09
tikrit,16488,192429,0.0767123287671233,1264.8328767123292,0.010958904109589043,180.69041095890415,0.008219178082191782,135.5178082191781,0.07945205479452055,1310.005479452055,Tikrit,Tikrit,تكريت,IQG16Q06,Salah Al-Din,صلاح الدين,IQG16
zakho,47856,90051,0.11924119241192412,5706.40650406504,0.023035230352303523,1102.3739837398375,0.02032520325203252,972.6829268292682,0.12195121951219512,5836.09756097561,Zakho,Zakho,زاخو,IQG09Q04,Duhok,دهوك,IQG09
al.adhamiya,2802,2802,0.08952380952380952,250.84571428571428,0.005714285714285714,16.01142857142857,0.0038095238095238095,10.674285714285714,0.09142857142857143,256.18285714285713,Adhamia,Al-Adhamiya,الاعظمية,IQG08Q01,Baghdad,بغداد,IQG08
al.baaj,6420,52830,0.0849673202614379,545.4901960784313,0.004357298474945533,27.973856209150323,0.004357298474945533,27.973856209150323,0.0849673202614379,545.4901960784313,Al-Ba'aj,Al-Baaj,البعاج,IQG15Q02,Ninewa,نينوى,IQG15
al.basrah,2688,2688,0.13385826771653542,359.8110236220472,0.007874015748031496,21.16535433070866,0.007874015748031496,21.16535433070866,0.13385826771653542,359.8110236220472,Basrah,Al-Basrah,البصرة,IQG02Q02,Al-Basrah,البصرة,IQG02
al.diwaniya,2364,2364,0.08517350157728706,201.35015772870662,0.012618296529968454,29.829652996845425,0.012618296529968454,29.829652996845425,0.08517350157728706,201.35015772870662,Diwaniya,Al-Diwaniya,الديوانية,IQG05Q02,Al-Qadissiya,القادسية,IQG05
al.hatra,2754,50202,0.07058823529411765,194.4,0.014705882352941176,40.5,0.008823529411764706,24.3,0.07647058823529412,210.60000000000002,Hatra,Al-Hatra,الحضر,IQG15Q04,Ninewa,نينوى,IQG15
al.karkh,7626,7626,0.091324200913242,696.4383561643835,0.0182648401826484,139.2876712328767,0.0182648401826484,139.2876712328767,0.091324200913242,696.4383561643835,Karkh,Al-Karkh,الكرخ,IQG08Q03,Baghdad,بغداد,IQG08
al.khalis,5418,79848,0.12052730696798493,653.0169491525423,0.035781544256120526,193.864406779661,0.022598870056497175,122.44067796610169,0.1337099811676083,724.4406779661017,Al-Khalis,Al-Khalis,الخالص,IQG10Q01,Diyala,ديالى,IQG10
al.kufa,2118,2118,0.1494661921708185,316.56939501779357,0.01779359430604982,37.68683274021352,0.01779359430604982,37.68683274021352,0.1494661921708185,316.56939501779357,Kufa,Al-Kufa,الكوفة,IQG04Q01,Al-Najaf,النجف,IQG04
al.kut,3762,3762,0.08142493638676845,306.3206106870229,0.020356234096692113,76.58015267175573,0.017811704834605598,67.00763358778626,0.08396946564885496,315.89312977099235,Kut,Al-Kut,الكوت,IQG18Q02,Wassit,واسط,IQG18
al.mussyab,14814,14814,0.14193548387096774,2102.632258064516,0.016129032258064516,238.93548387096774,0.016129032258064516,238.93548387096774,0.14193548387096774,2102.632258064516,Al-Musayab,Al-Mussyab,المسيب,IQG07Q04,Babil,بابل,IQG07
al.najaf,9306,9306,0.10112359550561797,941.0561797752808,0.00749063670411985,69.70786516853933,0.003745318352059925,34.853932584269664,0.10486891385767791,975.9101123595506,Najaf,Al-Najaf,النجف,IQG04Q03,Al-Najaf,النجف,IQG04
al.nasiriya,1926,1926,0.13680781758957655,263.4918566775244,0.02931596091205212,56.46254071661238,0.02931596091205212,56.46254071661238,0.13680781758957655,263.4918566775244,Nassriya,Al-Nasiriya,الناصرية,IQG17Q04,Thi Qar,ذي قار,IQG17
al.ramadi,7056,606054,0.0882016036655212,622.3505154639175,0.009163802978235968,64.65979381443299,0.009163802978235968,64.65979381443299,0.0882016036655212,622.3505154639175,Ramadi,Al-Ramadi,الرمادي,IQG01Q03,Al-Anbar,الانبار,IQG01
