strata,total_population,num_above64,avg_above64,num_chronic_disease,avg_chronic_disease,num_above64_or_chronic,avg_above64_or_chronic,num_access_healthcare_hour,avg_access_healthcare_hour,num_access_healthcare_services_hour,avg_access_healthcare_services_hour,district_iom,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode
al.adhamiya,2802,16,0.005710206995003569,251,0.08957887223411849,256,0.0913633119200571,2802,1,2375,0.8476088508208423,Adhamia,Al-Adhamiya,الاعظمية,IQG08Q01,Baghdad,بغداد,IQG08
al.amadiya,5914,210,0.035508961785593506,694,0.11734866418667568,722,0.12208319242475482,5752,0.9726073723368278,448,0.07575245180926615,Amedi,Al-Amadiya,العمادية,IQG09Q01,Duhok,دهوك,IQG09
al.baaj,52830,1017,0.019250425894378195,3677,0.069600605716449,4419,0.08364565587734242,46985,0.8893621048646603,15186,0.28745031232254403,Al-Ba'aj,Al-Baaj,البعاج,IQG15Q02,Ninewa,نينوى,IQG15
al.basrah,2688,21,0.0078125,360,0.13392857142857142,360,0.13392857142857142,2688,1,2349,0.8738839285714286,Basrah,Al-Basrah,البصرة,IQG02Q02,Al-Basrah,البصرة,IQG02
al.daur,60678,3034,0.050001648043772044,9481,0.15625103002735752,10808,0.17812057088236263,60678,1,26736,0.44062098289330565,Al-Daur,Al-Daur,الدور,IQG16Q01,Salah Al-Din,صلاح الدين,IQG16
al.diwaniya,2364,30,0.012690355329949238,201,0.0850253807106599,201,0.0850253807106599,2275,0.9623519458544839,1544,0.6531302876480541,Diwaniya,Al-Diwaniya,الديوانية,IQG05Q02,Al-Qadissiya,القادسية,IQG05
al.falluja,559509,4906,0.008768402295584165,49613,0.08867238954154447,49722,0.08886720320852748,559425,0.9998498683667287,425180,0.7599162837416378,Falluja,Al-Falluja,الفلوجة,IQG01Q01,Al-Anbar,الانبار,IQG01
al.hamdaniya,195147,5527,0.028322239132551358,18612,0.09537425632984366,19062,0.09768021030300235,188139,0.9640886101246753,112881,0.578440867653615,Al-Hamdaniya,Al-Hamdaniya,الحمدانية,IQG15Q03,Ninewa,نينوى,IQG15
al.hatra,50202,529,0.010537428787697702,3374,0.06720847774989044,3635,0.07240747380582446,42296,0.8425162344129716,8468,0.1686785387036373,Hatra,Al-Hatra,الحضر,IQG15Q04,Ninewa,نينوى,IQG15
al.hawiga,164478,2897,0.017613297827065017,20922,0.12720242220844125,21566,0.13111783946789235,131003,0.796477340434587,75962,0.4618368414012816,Al-Hawiga,Al-Hawiga,الحويجة,IQG13Q01,Kirkuk,كركوك,IQG13
al.hindiya,519,0,0,52,0.1001926782273603,52,0.1001926782273603,519,1,417,0.8034682080924855,Al-Hindiya,Al-Hindiya,الهندية,IQG12Q02,Kerbala,كربلاء,IQG12
al.kadhmiyah,9998,220,0.022004400880176037,983,0.09831966393278656,1018,0.10182036407281456,8778,0.8779755951190238,5319,0.532006401280256,Kadhimia,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08
al.kaim,98472,2770,0.028129823706231214,14607,0.14833658298805752,14859,0.15089568608335363,98472,1,80591,0.818415387115119,Al-Ka'im,Al-Kaim,القائم,IQG01Q02,Al-Anbar,الانبار,IQG01
al.karkh,7626,139,0.018227117755048518,696,0.09126671911880409,696,0.09126671911880409,7330,0.961185418305796,6268,0.8219249934434828,Karkh,Al-Karkh,الكرخ,IQG08Q03,Baghdad,بغداد,IQG08
al.khalis,79848,1953,0.02445897204688909,10261,0.1285066626590522,10332,0.12939585211902616,65503,0.8203461576996293,27373,0.34281384630798517,Al-Khalis,Al-Khalis,الخالص,IQG10Q01,Diyala,ديالى,IQG10
al.kufa,2118,38,0.01794145420207743,317,0.14966949952785646,317,0.14966949952785646,2118,1,1651,0.779508970727101,Kufa,Al-Kufa,الكوفة,IQG04Q01,Al-Najaf,النجف,IQG04
al.kut,3762,77,0.02046783625730994,306,0.08133971291866028,316,0.08399787347155768,3762,1,1685,0.4479000531632111,Kut,Al-Kut,الكوت,IQG18Q02,Wassit,واسط,IQG18
al.mahmoudiya,53868,1396,0.02591520011880894,5938,0.11023241998960422,6436,0.11947724066235985,38570,0.7160095047152298,20275,0.3763830103215267,Mahmoudiya,Al-Mahmoudiya,المحمودية,IQG08Q05,Baghdad,بغداد,IQG08
al.mosul,1170316,15635,0.013359639618701274,104714,0.0894749794072712,110837,0.09470689967495959,1161930,0.9928344139531545,533455,0.4558213337252503,Mosul,Al-Mosul,الموصل,IQG15Q05,Ninewa,نينوى,IQG15
al.muqdadiya,58668,1699,0.028959569100702257,10714,0.18262084952614713,10976,0.18708665712142905,55009,0.9376320992704711,27309,0.4654837390059317,Al-Muqdadiya,Al-Muqdadiya,المقدادية,IQG10Q02,Diyala,ديالى,IQG10
al.mussyab,14814,239,0.016133387336303498,2103,0.14196030781692992,2103,0.14196030781692992,14814,1,10083,0.6806399351964358,Al-Musayab,Al-Mussyab,المسيب,IQG07Q04,Babil,بابل,IQG07
al.najaf,9306,70,0.007522028798624543,941,0.10111755856436708,976,0.10487857296367935,9306,1,7807,0.8389211261551687,Najaf,Al-Najaf,النجف,IQG04Q03,Al-Najaf,النجف,IQG04
al.nasiriya,1926,56,0.029075804776739357,263,0.13655244029075805,263,0.13655244029075805,1926,1,998,0.5181723779854621,Nassriya,Al-Nasiriya,الناصرية,IQG17Q04,Thi Qar,ذي قار,IQG17
al.ramadi,606054,9301,0.015346817280308355,67910,0.11205272137466299,70549,0.11640711883759533,594966,0.9817046005801463,384907,0.6351034726278516,Ramadi,Al-Ramadi,الرمادي,IQG01Q03,Al-Anbar,الانبار,IQG01
al.risafa,361,10,0.027700831024930747,43,0.11911357340720222,45,0.12465373961218837,361,1,333,0.9224376731301939,Al Resafa,Al-Risafa,الرصافة,IQG08Q06,Baghdad,بغداد,IQG08
al.rutba,30624,132,0.004310344827586207,2772,0.09051724137931035,2877,0.09394592476489028,30624,1,24031,0.7847113375130617,Al-Rutba,Al-Rutba,الرطبة,IQG01Q04,Al-Anbar,الانبار,IQG01
al.shikhan,48668,1350,0.0277389660557245,5924,0.1217226925289718,6197,0.1273321278869072,45824,0.941563244842607,13708,0.28166351606805295,Al-Shikhan,Al-Shikhan,الشيخان,IQG15Q06,Ninewa,نينوى,IQG15
al.shirqat,160854,2052,0.012756909992912827,10775,0.06698621109826303,12571,0.07815161575092941,156749,0.974479963196439,93126,0.5789473684210527,Al-Shirqat,Al-Shirqat,الشرقاط,IQG16Q02,Salah Al-Din,صلاح الدين,IQG16
al.sulaymaniyah,88628,757,0.008541318770591687,9019,0.10176242271065578,9085,0.10250710836304554,84722,0.9559281491176603,10726,0.12102270162928194,Sulaymaniya,Al-Sulaymaniyah,السليمانية,IQG06Q01,Al-Sulaymaniyah,السليمانية,IQG06
ana,15168,253,0.016679852320675106,1158,0.07634493670886076,1303,0.0859045358649789,13865,0.9140954641350211,8471,0.5584783755274262,Ana,Ana,عنه,IQG01Q05,Al-Anbar,الانبار,IQG01
aqra,29676,900,0.0303275374039628,3681,0.12403962798220784,3901,0.13145302601428763,28589,0.9633710742687693,11493,0.38728265264860495,Akre,Aqra,عقرة,IQG15Q01,Ninewa,نينوى,IQG15
balad,72078,1887,0.026179971697327893,11633,0.1613946002941258,11676,0.16199117622575543,72078,1,49560,0.6875884458503289,Balad,Balad,بلد,IQG16Q04,Salah Al-Din,صلاح الدين,IQG16
baquba,20961,496,0.023662993177806402,2710,0.129287724822289,2741,0.13076666189590191,20961,1,9423,0.44954916273078577,Ba'quba,Baquba,بعقوبة,IQG10Q04,Diyala,ديالى,IQG10
beygee,117942,2156,0.018280171609774295,7796,0.06610028658154007,8958,0.07595258686473012,117942,1,21731,0.1842515812857167,Baiji,Beygee,بيجي,IQG16Q03,Salah Al-Din,صلاح الدين,IQG16
chamchamal,9510,83,0.008727655099894847,1351,0.14206098843322817,1378,0.1449001051524711,8848,0.9303890641430074,2371,0.24931650893796004,Chamchamal,Chamchamal,جمجمال,IQG06Q02,Al-Sulaymaniyah,السليمانية,IQG06
daquq,23586,421,0.017849571779869414,1847,0.0783091664546765,1945,0.08246417366234207,13575,0.5755532943271432,11340,0.4807936911727296,Daquq,Daquq,داقوق,IQG13Q02,Kirkuk,كركوك,IQG13
derbendikhan,4446,93,0.020917678812415654,518,0.11650922177237967,571,0.12843004948268105,4446,1,929,0.2089518668466037,Darbandikhan,Derbendikhan,دربندخان,IQG06Q03,Al-Sulaymaniyah,السليمانية,IQG06
dibis,8664,239,0.027585410895660203,1079,0.12453831948291783,1167,0.13469529085872575,8586,0.9909972299168975,439,0.05066943674976916,Dabes,Dibis,دبس,IQG13Q03,Kirkuk,كركوك,IQG13
dokan,5274,110,0.020857034508911642,534,0.1012514220705347,596,0.1130072051573758,5133,0.9732650739476678,1067,0.20231323473644292,Dokan,Dokan,دوكان,IQG06Q04,Al-Sulaymaniyah,السليمانية,IQG06
duhok,29808,1219,0.04089506172839506,5390,0.1808239398819109,5577,0.187097423510467,28871,0.9685654857756307,15045,0.5047302737520128,Dahuk,Duhok,دهوك,IQG09Q02,Duhok,دهوك,IQG09
erbil,213288,4257,0.01995892877236413,22564,0.10579123063651026,24841,0.11646693672405387,213264,0.9998874760886688,68277,0.32011646224822776,Erbil,Erbil,اربيل,IQG11Q02,Erbil,اربيل,IQG11
haditha,27462,321,0.011688879178501201,3426,0.12475420581166703,3426,0.12475420581166703,27462,1,15953,0.5809118054038307,Haditha,Haditha,حديثة,IQG01Q06,Al-Anbar,الانبار,IQG01
halabcha,6516,81,0.012430939226519336,912,0.13996316758747698,929,0.1425721301411909,6435,0.9875690607734806,1482,0.2274401473296501,Halabja,Halabcha,حلبجة,IQG06Q05,Al-Sulaymaniyah,السليمانية,IQG06
heet,177702,2312,0.013010545745123859,14614,0.08223880429032875,16142,0.09083746947136216,158296,0.8907947012414041,75849,0.42683256237971434,Heet,Heet,هيت,IQG01Q07,Al-Anbar,الانبار,IQG01
kalar,20764,585,0.028173762280870738,2700,0.13003274898863418,2899,0.13961664419187053,20764,1,6865,0.3306203043729532,Kalar,Kalar,كلار,IQG06Q06,Al-Sulaymaniyah,السليمانية,IQG06
kerbela,12834,370,0.02882967118591242,1728,0.13464235624123422,1728,0.13464235624123422,11641,0.9070437899329905,6294,0.4904160822814399,Kerbala,Kerbela,كربلاء,IQG12Q03,Kerbala,كربلاء,IQG12
khanaqin,113508,3218,0.028350424639672973,15345,0.13518870916587378,15402,0.13569087641399724,109959,0.9687334813405223,72712,0.6405892095711315,Khanaqin,Khanaqin,خانقين,IQG10Q05,Diyala,ديالى,IQG10
kifri,7248,203,0.028007726269315674,814,0.11230684326710817,906,0.125,7137,0.9846854304635762,3901,0.5382174392935982,Kifri,Kifri,كفري,IQG10Q06,Diyala,ديالى,IQG10
kirkuk,243314,5864,0.024100544974806216,37296,0.15328341155872657,37753,0.1551616429798532,239841,0.9857262631825542,117240,0.481846502872831,Kirkuk,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13
koysinjaq,2940,44,0.014965986394557823,290,0.09863945578231292,307,0.10442176870748299,2940,1,843,0.286734693877551,Koisnjaq,Koysinjaq,كويسنجق,IQG11Q03,Erbil,اربيل,IQG11
makhmour,7496,145,0.019343649946638206,810,0.10805763073639274,831,0.11085912486659552,7496,1,1827,0.24372998932764142,Makhmur,Makhmour,مخمور,IQG11Q04,Erbil,اربيل,IQG11
rania,2382,51,0.021410579345088162,335,0.14063811922753988,342,0.14357682619647355,2382,1,656,0.2753988245172124,Rania,Rania,رانية,IQG06Q09,Al-Sulaymaniyah,السليمانية,IQG06
rawanduz,2124,53,0.02495291902071563,239,0.11252354048964218,243,0.11440677966101695,2112,0.9943502824858758,827,0.3893596986817326,Soran,Rawanduz,راوندوز,IQG11Q05,Erbil,اربيل,IQG11
samarra,74112,850,0.01146912780656304,8611,0.11618901122625216,8771,0.11834790587219343,74112,1,50002,0.6746815630397237,Samarra,Samarra,سامراء,IQG16Q05,Salah Al-Din,صلاح الدين,IQG16
shaqlawa,5058,124,0.024515618821668642,705,0.13938315539739027,746,0.14748912613681298,4370,0.8639778568604192,2496,0.49347568208778175,Shaqlawa,Shaqlawa,شقلاوة,IQG11Q06,Erbil,اربيل,IQG11
sinjar,131022,2441,0.01863045900688434,11494,0.08772572545068767,12597,0.09614415899619912,125179,0.9554044358962617,75938,0.5795820549220742,Sinjar,Sinjar,سنجار,IQG15Q07,Ninewa,نينوى,IQG15
sumail,152942,4736,0.030965987106223274,19279,0.12605432124596253,20167,0.1318604438283794,132069,0.863523427181546,26053,0.17034562121588576,Sumel,Sumail,سميل,IQG09Q03,Duhok,دهوك,IQG09
telafar,361230,5366,0.014854801649918335,39117,0.10828834814384188,41823,0.11577942031392742,353181,0.9777177975251224,172819,0.4784181823215126,Telafar,Telafar,تلعفر,IQG15Q08,Ninewa,نينوى,IQG15
tikrit,192429,6376,0.03313429888426381,34149,0.17746285643016385,34198,0.17771749580364707,192429,1,154275,0.8017242723290149,Tikrit,Tikrit,تكريت,IQG16Q06,Salah Al-Din,صلاح الدين,IQG16
tilkaef,110508,1842,0.016668476490389834,8169,0.07392224997285264,9076,0.0821298005574257,93263,0.8439479494697216,48909,0.44258334238245195,Tilkaif,Tilkaef,تلكيف,IQG15Q09,Ninewa,نينوى,IQG15
tooz.khurmato,73830,2334,0.03161316537992686,5167,0.06998510090749017,6119,0.08287958824326154,73830,1,31031,0.42030339970201813,Tuz Khurmatu,Tooz Khurmato,طوز خورماتو,IQG16Q07,Salah Al-Din,صلاح الدين,IQG16
zakho,89283,1892,0.021191044207743915,10088,0.11298903486665994,10458,0.11713316084808978,81357,0.9112261012734787,34939,0.39132869639237033,Zakho,Zakho,زاخو,IQG09Q04,Duhok,دهوك,IQG09
idp_in_camp,251287,4395,0.017489961677285334,24663,0.09814674057949675,25751,0.10247645122907273,244334,0.9723304428800534,53613,0.21335365538209297,NA,NA,NA,NA,NA,NA,NA
idp_out_camp,992184,20399,0.020559694572780854,116050,0.1169641921256541,121384,0.12234021108987848,948094,0.9555626778903913,409740,0.41296775598074553,NA,NA,NA,NA,NA,NA,NA
returnee,4664676,82609,0.01770948293086165,490359,0.10512177051525122,513638,0.11011225645682572,4493311,0.963263257726796,2558895,0.548568646568379,NA,NA,NA,NA,NA,NA,NA
all,5908147,107403,0.018178796160623626,631072,0.10681386228203191,660773,0.11184098838434453,5685739,0.9623557098359266,3022248,0.511539066309623,NA,NA,NA,NA,NA,NA,NA
