"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c22","all",1,"all",0.113890776408741,NA,0.0130577370931721,0.21472381572431,"district","al.hatra"
"c22","all",1,"all",0.0920712245361979,NA,0.0438340908149068,0.140308358257489,"district","aqra"
"c22","all",1,"all",0.126984126984127,NA,0.0574309133635082,0.196537340604746,"district","shaqlawa"
"c22","all",1,"all",0.0994562571474506,NA,0.0461565264486397,0.152755987846261,"district","al.hamdaniya"
"c22","all",1,"all",0.141429969060427,NA,0.0979411384415741,0.18491879967928,"district","al.shikhan"
"c22","all",1,"all",0.0232558139534884,NA,-0.0149965959756156,0.0615082238825923,"district","kifri"
"c22","all",1,"all",0.0524505666878261,NA,-0.000700629067250921,0.105601762442903,"district","al.mosul"
"c22","all",1,"all",0.100068097878941,NA,0.065537118010211,0.134599077747672,"district","sumail"
"c22","all",1,"all",0.0488660480942943,NA,-0.00233676735981063,0.100068863548399,"district","tilkaef"
"c22","all",1,"all",0.068428733446633,NA,0.037515390468,0.099342076425266,"district","kirkuk"
"c22","all",1,"all",0.133333333333333,NA,0.02950313758621,0.237163529080457,"district","chamchamal"
"c22","all",1,"all",0.0976927282668125,NA,0.0328485003668404,0.162536956166784,"district","al.baaj"
"c22","all",1,"all",0.092708033922346,NA,0.0549184714793693,0.130497596365323,"district","dibis"
"c22","all",1,"all",0.226415094339623,NA,0.130952712345264,0.321877476333981,"district","al.hawiga"
"c22","all",1,"all",0.138888888888889,NA,0.042737273950708,0.23504050382707,"district","al.diwaniya"
"c22","all",1,"all",0.194029850746269,NA,0.113963682949844,0.274096018542694,"district","beygee"
"c22","all",1,"all",0,NA,0,0,"district","dokan"
"c22","all",1,"all",0.102282426809132,NA,0.0391489491418431,0.165415904476421,"district","erbil"
"c22","all",1,"all",0.120869840599599,NA,0.05693026333955,0.184809417859648,"district","al.amadiya"
"c22","all",1,"all",0.0888611525383365,NA,0.0444879303145557,0.133234374762117,"district","daquq"
