"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c1","all",1,"all",0.410697604066422,NA,0.387918972682344,0.433476235450499,"all","all"
"c2","all",NA,"all",0.579393386776291,NA,0.536538051199989,0.622248722352592,"all","all"
"c3","all",1,"all",0.0839467587313204,NA,0.0714852779115494,0.0964082395510915,"all","all"
"c4","all",NA,"all",0.100346736516058,NA,0.0835220524723796,0.117171420559737,"all","all"
"c5","all",1,"all",0.0639856335095581,NA,0.053490900263368,0.0744803667557482,"all","all"
"c6","all",NA,"all",0.0723919514195678,NA,0.0590432441658362,0.0857406586732995,"all","all"
"c7",NA,NA,NA,NA,NA,NA,NA,"all","all"
"c8","all",NA,"all",5.51021751574086,NA,5.37339121968511,5.64704381179661,"all","all"
"c9","all",1,"all",0.963562390743281,NA,0.95695875775391,0.970166023732652,"all","all"
"c10_1","all",NA,"all",2.79855646268463,NA,2.63232567671485,2.96478724865441,"all","all"
"c10_2","all",1,"all",0.687491125895238,NA,0.659647677140245,0.71533457465023,"all","all"
"c18_i","all",1,"all",0.0281234155950806,NA,0.0186949307668456,0.0375519004233156,"all","all"
"c18_ii","all",NA,"all",0.0366398632378604,NA,0.0217094066693762,0.0515703198063445,"all","all"
"c19_i","all",1,"all",0.0383528727958951,NA,0.0317008613904946,0.0450048842012956,"all","all"
"c19_ii","all",NA,"all",0.0513607131570988,NA,0.040900949872717,0.0618204764414807,"all","all"
