"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c1","population_group","0","idp_in_camp",0.579897143146046,NA,0.559713215060689,0.600081071231403,"all","all"
"c1","population_group","1","idp_in_camp",0.420102856853954,NA,0.399918928768597,0.440286784939311,"all","all"
"c1","population_group","0","idp_out_camp",0.530315598750631,NA,0.507703940245854,0.552927257255409,"all","all"
"c1","population_group","1","idp_out_camp",0.469684401249369,NA,0.447072742744591,0.492296059754146,"all","all"
"c1","population_group","0","returnee",0.602948680909225,NA,0.57405872688395,0.631838634934501,"all","all"
"c1","population_group","1","returnee",0.397051319090775,NA,0.368161365065499,0.42594127311605,"all","all"
"c2","population_group",NA,"idp_out_camp",0.67506639715332,NA,0.630901046381559,0.719231747925081,"all","all"
"c2","population_group",NA,"returnee",0.558992639094988,NA,0.504687793773077,0.613297484416899,"all","all"
"c2","population_group",NA,"idp_in_camp",0.570209169645629,NA,0.532164539135795,0.608253800155463,"all","all"
"c3","population_group","0","idp_in_camp",0.919440192658167,NA,0.908337170642691,0.930543214673643,"all","all"
"c3","population_group","1","idp_in_camp",0.0805598073418328,NA,0.0694567853263565,0.0916628293573092,"all","all"
"c3","population_group","0","idp_out_camp",0.90292783527107,NA,0.890500020737285,0.915355649804854,"all","all"
"c3","population_group","1","idp_out_camp",0.0970721647289303,NA,0.0846443501951459,0.109499979262715,"all","all"
"c3","population_group","0","returnee",0.918701464489078,NA,0.902870202880109,0.934532726098047,"all","all"
"c3","population_group","1","returnee",0.081298535510922,NA,0.065467273901953,0.0971297971198911,"all","all"
"c4","population_group",NA,"idp_out_camp",0.122655596217498,NA,0.102982803958456,0.14232838847654,"all","all"
"c4","population_group",NA,"returnee",0.095521500599949,NA,0.0742862916248585,0.11675670957504,"all","all"
"c4","population_group",NA,"idp_in_camp",0.0991664987743258,NA,0.0822601601546712,0.11607283739398,"all","all"
"c5","population_group","0","idp_in_camp",0.935795515654367,NA,0.925811932218203,0.945779099090531,"all","all"
"c5","population_group","1","idp_in_camp",0.0642044843456328,NA,0.0542209009094684,0.0741880677817972,"all","all"
"c5","population_group","0","idp_out_camp",0.924317693584052,NA,0.913913180763249,0.934722206404855,"all","all"
"c5","population_group","1","idp_out_camp",0.075682306415948,NA,0.0652777935951453,0.0860868192367506,"all","all"
"c5","population_group","0","returnee",0.938603691838994,NA,0.925274075618863,0.951933308059124,"all","all"
"c5","population_group","1","returnee",0.0613963081610066,NA,0.0480666919408763,0.0747259243811369,"all","all"
"c6","population_group",NA,"idp_out_camp",0.0920893018522044,NA,0.0761239090288294,0.108054694675579,"all","all"
"c6","population_group",NA,"returnee",0.0678701658157411,NA,0.0510483508400053,0.0846919807914768,"all","all"
"c6","population_group",NA,"idp_in_camp",0.0750330308649781,NA,0.0606161702300852,0.0894498914998709,"all","all"
"c7",NA,NA,NA,NA,NA,NA,NA,"all","all"
"c8","population_group",NA,"idp_out_camp",5.89451765733711,NA,5.73349274563783,6.0555425690364,"all","all"
"c8","population_group",NA,"returnee",5.37551496592441,NA,5.20253744170486,5.54849249014395,"all","all"
"c8","population_group",NA,"idp_in_camp",6.21276463603751,NA,6.05789765834305,6.36763161373197,"all","all"
"c9","population_group","0","idp_in_camp",0.027104259362587,NA,0.0204768341024833,0.0337316846226906,"all","all"
"c9","population_group","1","idp_in_camp",0.972895740637413,NA,0.966268315377309,0.979523165897517,"all","all"
"c9","population_group","0","idp_out_camp",0.0414397484015832,NA,0.0335554490511898,0.0493240477519765,"all","all"
"c9","population_group","1","idp_out_camp",0.958560251598417,NA,0.950675952248023,0.96644455094881,"all","all"
"c9","population_group","0","returnee",0.0359993051259463,NA,0.0276674035130163,0.0443312067388763,"all","all"
"c9","population_group","1","returnee",0.964000694874054,NA,0.955668793261124,0.972332596486984,"all","all"
"c10_1","population_group",NA,"idp_out_camp",2.52557085638675,NA,2.34415682000516,2.70698489276835,"all","all"
"c10_1","population_group",NA,"returnee",2.96156205995639,NA,2.75081144603832,3.17231267387446,"all","all"
"c10_1","population_group",NA,"idp_in_camp",1.3491033715697,NA,1.21388756831848,1.48431917482093,"all","all"
"c10_2","population_group","0","idp_in_camp",0.155015432567813,NA,0.138408087536822,0.171622777598804,"all","all"
"c10_2","population_group","1","idp_in_camp",0.844984567432187,NA,0.828377222401196,0.861591912463178,"all","all"
"c10_2","population_group","0","idp_out_camp",0.202251234219718,NA,0.181184959903696,0.22331750853574,"all","all"
"c10_2","population_group","1","idp_out_camp",0.797748765780282,NA,0.77668249146426,0.818815040096304,"all","all"
"c10_2","population_group","0","returnee",0.351531857052087,NA,0.315147270132479,0.387916443971695,"all","all"
"c10_2","population_group","1","returnee",0.648468142947913,NA,0.612083556028305,0.684852729867521,"all","all"
"c18_i","population_group","0","idp_in_camp",0.974386189668283,NA,0.967893050700996,0.98087932863557,"all","all"
"c18_i","population_group","1","idp_in_camp",0.0256138103317169,NA,0.0191206713644298,0.0321069492990041,"all","all"
"c18_i","population_group","0","idp_out_camp",0.955635529092675,NA,0.94438551569998,0.966885542485369,"all","all"
"c18_i","population_group","1","idp_out_camp",0.0443644709073254,NA,0.033114457514631,0.0556144843000199,"all","all"
"c18_i","population_group","0","returnee",0.9752731741645,NA,0.963355174067005,0.987191174261995,"all","all"
"c18_i","population_group","1","returnee",0.0247268258355005,NA,0.0128088257380055,0.0366448259329954,"all","all"
"c18_ii","population_group",NA,"idp_out_camp",0.066546575674612,NA,0.0445263007163241,0.0885668506329,"all","all"
"c18_ii","population_group",NA,"returnee",0.02994728879098,NA,0.0113191501792584,0.0485754274027016,"all","all"
"c18_ii","population_group",NA,"idp_in_camp",0.038213594190084,NA,0.0190000757693566,0.0574271126108115,"all","all"
