"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c14","all","1","all",0.323575113948136,NA,0.249621950335319,0.397528277560952,"district","al.falluja"
"c14","all","2","all",0.618155388778212,NA,0.541387544318236,0.694923233238188,"district","al.falluja"
"c14","all","3","all",0.0582694972736521,NA,0.02100431824694,0.0955346763003642,"district","al.falluja"
"c14","all","1","all",0.293066317919906,NA,0.217491161623526,0.368641474216286,"district","al.ramadi"
"c14","all","2","all",0.655019011757492,NA,0.576047437877143,0.733990585637841,"district","al.ramadi"
"c14","all","3","all",0.0519146703226012,NA,0.0149708512229679,0.0888584894222345,"district","al.ramadi"
"c14","all","1","all",0.252252252252252,NA,0.184139881425307,0.320364623079198,"district","haditha"
"c14","all","2","all",0.684684684684685,NA,0.611814687332708,0.757554682036661,"district","haditha"
"c14","all","3","all",0.0630630630630631,NA,0.0249412431796801,0.101184882946446,"district","haditha"
"c14","all","1","all",0.20164748153194,NA,0.135118907634217,0.268176055429663,"district","heet"
"c14","all","2","all",0.653665456083816,NA,0.574363259171403,0.732967652996229,"district","heet"
"c14","all","3","all",0.144687062384244,NA,0.085760655569382,0.203613469199105,"district","heet"
"c14","all","1","all",0.192754692873929,NA,0.135625693258735,0.249883692489123,"district","al.khalis"
"c14","all","2","all",0.743114004441126,NA,0.679013841108445,0.807214167773807,"district","al.khalis"
"c14","all","3","all",0.0630548574248334,NA,0.0262966381647809,0.0998130766848859,"district","al.khalis"
"c14","all","4","all",0.00107644526011153,NA,-0.000187626060199655,0.00234051658042271,"district","al.khalis"
"c14","all","1","all",0.500599840504837,NA,0.435464527820572,0.565735153189101,"district","baquba"
"c14","all","2","all",0.476027645828277,NA,0.411034309924802,0.541020981731751,"district","baquba"
"c14","all","3","all",0.0233725136668863,NA,0.00501683633765363,0.0417281909961189,"district","baquba"
"c14","all","1","all",0.232305524140317,NA,0.17325031840361,0.291360729877025,"district","khanaqin"
"c14","all","2","all",0.750416624441209,NA,0.690479708520352,0.810353540362066,"district","khanaqin"
"c14","all","3","all",0.0172778514184738,NA,0.0031893548333826,0.031366348003565,"district","khanaqin"
"c14","all","1","all",0.43,NA,0.348157042434807,0.511842957565193,"district","duhok"
"c14","all","2","all",0.55,NA,0.467757318652426,0.632242681347574,"district","duhok"
"c14","all","3","all",0.02,NA,-0.00314396133913498,0.043143961339135,"district","duhok"
"c14","all","1","all",0.351257616021212,NA,0.309689529947365,0.392825702095059,"district","sumail"
"c14","all","2","all",0.575153452729796,NA,0.532495421792592,0.617811483666999,"district","sumail"
"c14","all","3","all",0.0692703027292084,NA,0.0472364835807705,0.0913041218776463,"district","sumail"
"c14","all","4","all",0.00431862851978351,NA,-0.00277036977829885,0.0114076268178659,"district","sumail"
"c14","all","1","all",0.314202302792525,NA,0.268969431319658,0.359435174265392,"district","zakho"
"c14","all","2","all",0.653507095704039,NA,0.607120306204126,0.699893885203951,"district","zakho"
"c14","all","3","all",0.0322906015034364,NA,0.0148292414738398,0.049751961533033,"district","zakho"
"c14","all","1","all",0.556030585931395,NA,0.477835731275751,0.634225440587039,"district","erbil"
"c14","all","2","all",0.415378673580927,NA,0.338018698544383,0.492738648617472,"district","erbil"
"c14","all","3","all",0.0285907404876775,NA,0.00178485734927658,0.0553966236260785,"district","erbil"
"c14","all","1","all",0.633928571428571,NA,0.558719738848152,0.709137404008991,"district","rawanduz"
"c14","all","2","all",0.339285714285714,NA,0.265366830037273,0.413204598534156,"district","rawanduz"
"c14","all","3","all",0.0267857142857143,NA,0.00157868760562405,0.0519927409658045,"district","rawanduz"
"c14","all","1","all",0.481481481481481,NA,0.402029030730236,0.560933932232727,"district","shaqlawa"
"c14","all","2","all",0.5,NA,0.420492998984345,0.579507001015654,"district","shaqlawa"
"c14","all","3","all",0.0185185185185185,NA,-0.0029192483096705,0.0399562853467075,"district","shaqlawa"
"c14","all","1","all",0.210526315789474,NA,0.14136147935436,0.279691152224587,"district","al.hawiga"
"c14","all","2","all",0.789473684210526,NA,0.720308847775413,0.85863852064564,"district","al.hawiga"
"c14","all","1","all",0.264,NA,0.198888562318344,0.329111437681656,"district","beygee"
"c14","all","2","all",0.52,NA,0.446203000424759,0.593796999575241,"district","beygee"
"c14","all","3","all",0.192,NA,0.133820135030586,0.250179864969414,"district","beygee"
"c14","all","4","all",0.024,NA,0.00139279128158115,0.0466072087184188,"district","beygee"
"c14","all","1","all",0.425916375978892,NA,0.370944511788841,0.480888240168943,"district","daquq"
"c14","all","2","all",0.569384104095143,NA,0.514332621399321,0.624435586790966,"district","daquq"
"c14","all","3","all",0.00469951992596449,NA,-0.00302932742498465,0.0124283672769136,"district","daquq"
"c14","all","1","all",0.560027761064031,NA,0.509012983593351,0.61104253853471,"district","dibis"
"c14","all","2","all",0.43997223893597,NA,0.38895746146529,0.490987016406649,"district","dibis"
"c14","all","1","all",0.589589451564597,NA,0.534732939315734,0.644445963813461,"district","kirkuk"
"c14","all","2","all",0.40859198173538,NA,0.353750886202017,0.463433077268742,"district","kirkuk"
"c14","all","3","all",0.00181856670002309,NA,0.000329124031712759,0.00330800936833343,"district","kirkuk"
"c14","all","1","all",0.334690438993589,NA,0.292558786918472,0.376822091068706,"district","al.shikhan"
"c14","all","2","all",0.624425892748796,NA,0.581392032839449,0.667459752658144,"district","al.shikhan"
"c14","all","3","all",0.0408836682576148,NA,0.0245045312414901,0.0572628052737395,"district","al.shikhan"
"c14","all","1","all",0.381325297658684,NA,0.329422045721561,0.433228549595808,"district","aqra"
"c14","all","2","all",0.557240532110862,NA,0.504232947206419,0.610248117015306,"district","aqra"
"c14","all","3","all",0.0614341702304535,NA,0.0355569596863783,0.0873113807745286,"district","aqra"
"c14","all","1","all",0.214285714285714,NA,0.150224568565914,0.278346860005514,"district","al.shirqat"
"c14","all","2","all",0.660714285714286,NA,0.586795401465844,0.734633169962727,"district","al.shirqat"
"c14","all","3","all",0.125,NA,0.073367304225926,0.176632695774074,"district","al.shirqat"
"c14","all","1","all",0.432937210599871,NA,0.382806482652452,0.483067938547291,"district","tooz.khurmato"
"c14","all","2","all",0.479957050823193,NA,0.429318835629345,0.53059526601704,"district","tooz.khurmato"
"c14","all","3","all",0.0871057385769363,NA,0.0583598971921343,0.115851579961738,"district","tooz.khurmato"
"c14","all","1","all",0.431818181818182,NA,0.344468413220643,0.519167950415721,"district","al.kut"
"c14","all","2","all",0.556818181818182,NA,0.469215923545508,0.644420440090856,"district","al.kut"
"c14","all","3","all",0.0113636363636364,NA,-0.00732788212444854,0.0300551548517212,"district","al.kut"
"c14","all","1","all",0.291666666666667,NA,0.202938742436036,0.380394590897297,"district","al.kaim"
"c14","all","2","all",0.694444444444444,NA,0.604523278680289,0.7843656102086,"district","al.kaim"
"c14","all","3","all",0.0138888888888889,NA,-0.00895630037432598,0.0367340781521037,"district","al.kaim"
"c14","all","1","all",0.297519108594503,NA,0.208970279373382,0.386067937815624,"district","al.rutba"
"c14","all","2","all",0.667195457961092,NA,0.575850044227688,0.758540871694497,"district","al.rutba"
"c14","all","3","all",0.0352854334444048,NA,-0.000153736604121747,0.0707246034929313,"district","al.rutba"
"c14","all","1","all",0.23943661971831,NA,0.155540624804421,0.323332614632199,"district","ana"
"c14","all","2","all",0.690140845070423,NA,0.599227158577128,0.781054531563717,"district","ana"
"c14","all","3","all",0.0704225352112676,NA,0.0201215075354314,0.120723562887104,"district","ana"
"c14","all","1","all",0.462962962962963,NA,0.350304307069377,0.575621618856549,"district","al.basrah"
