"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"c14","population_group","1","idp_in_camp",0.0631601659917606,NA,0.0247904611943109,0.10152987078921,"district","al.falluja"
"c14","population_group","2","idp_in_camp",0.906316016599176,NA,0.862766368478646,0.949865664719706,"district","al.falluja"
"c14","population_group","3","idp_in_camp",0.0305238174090633,NA,0.00819770389288874,0.0528499309252379,"district","al.falluja"
"c14","population_group","1","idp_out_camp",0.362745098039216,NA,0.284100630935249,0.441389565143183,"district","al.falluja"
"c14","population_group","2","idp_out_camp",0.607843137254902,NA,0.527981819124714,0.68770445538509,"district","al.falluja"
"c14","population_group","3","idp_out_camp",0.0294117647058824,NA,0.00177489453939043,0.0570486348723743,"district","al.falluja"
"c14","population_group","1","returnee",0.326732673267327,NA,0.2496351801448,0.403830166389853,"district","al.falluja"
"c14","population_group","2","returnee",0.613861386138614,NA,0.533830619183098,0.693892153094129,"district","al.falluja"
"c14","population_group","3","returnee",0.0594059405940594,NA,0.0205492098042608,0.098262671383858,"district","al.falluja"
"c14","population_group","1","idp_out_camp",0.414893617021277,NA,0.355488469869365,0.474298764173188,"district","al.ramadi"
"c14","population_group","2","idp_out_camp",0.547872340425532,NA,0.487864429570037,0.607880251281027,"district","al.ramadi"
"c14","population_group","3","idp_out_camp",0.0372340425531915,NA,0.0144059965262202,0.0600620885801627,"district","al.ramadi"
"c14","population_group","1","returnee",0.291666666666667,NA,0.21497576772387,0.368357565609463,"district","al.ramadi"
"c14","population_group","2","returnee",0.65625,NA,0.57611216579216,0.73638783420784,"district","al.ramadi"
"c14","population_group","3","returnee",0.0520833333333333,NA,0.0145932803024387,0.0895733863642279,"district","al.ramadi"
"c14","population_group","1","returnee",0.252252252252252,NA,0.184139881425307,0.320364623079198,"district","haditha"
"c14","population_group","2","returnee",0.684684684684685,NA,0.611814687332708,0.757554682036661,"district","haditha"
"c14","population_group","3","returnee",0.0630630630630631,NA,0.0249412431796801,0.101184882946446,"district","haditha"
"c14","population_group","1","idp_out_camp",0.672566371681416,NA,0.599452911231412,0.74567983213142,"district","heet"
"c14","population_group","2","idp_out_camp",0.327433628318584,NA,0.25432016786858,0.400547088768588,"district","heet"
"c14","population_group","1","returnee",0.197916666666667,NA,0.13056898351109,0.265264349822244,"district","heet"
"c14","population_group","2","returnee",0.65625,NA,0.575966233038366,0.736533766961634,"district","heet"
"c14","population_group","3","returnee",0.145833333333333,NA,0.0861749554045105,0.205491711262156,"district","heet"
"c14","population_group","1","idp_out_camp",0.53125,NA,0.4468873307412,0.6156126692588,"district","al.khalis"
"c14","population_group","2","idp_out_camp",0.40625,NA,0.323221211909008,0.489278788090992,"district","al.khalis"
"c14","population_group","3","idp_out_camp",0.0416666666666667,NA,0.00788485962977923,0.0754484737035541,"district","al.khalis"
"c14","population_group","4","idp_out_camp",0.0208333333333333,NA,-0.00331226057426113,0.0449789272409278,"district","al.khalis"
"c14","population_group","1","returnee",0.174311926605505,NA,0.114121956809178,0.234501896401831,"district","al.khalis"
"c14","population_group","2","returnee",0.761467889908257,NA,0.693851529481488,0.829084250335026,"district","al.khalis"
"c14","population_group","3","returnee",0.0642201834862385,NA,0.0253268492255299,0.103113517746947,"district","al.khalis"
"c14","population_group","2","idp_in_camp",0.866666666666667,NA,0.782702243173632,0.950631090159701,"district","baquba"
"c14","population_group","3","idp_in_camp",0.133333333333333,NA,0.0493689098402988,0.217297756826368,"district","baquba"
"c14","population_group","1","idp_out_camp",0.516556291390728,NA,0.449173427883424,0.583939154898033,"district","baquba"
"c14","population_group","2","idp_out_camp",0.463576158940397,NA,0.39633545353133,0.530816864349465,"district","baquba"
"c14","population_group","3","idp_out_camp",0.0198675496688742,NA,0.00105133684857768,0.0386837624891706,"district","baquba"
"c14","population_group","1","idp_in_camp",0.0668380653720329,NA,0.034866905033532,0.0988092257105337,"district","khanaqin"
